Column1;lesson_group_id;course_id;conspect_expected;task_expected;lesson_number;wk_max_points;wk_task_count;wk_survival_training_expected;wk_scratch_playground_enabled;wk_attendance_tracking_enabled;wk_video_duration
7;5511;755;ЛОЖЬ;ИСТИНА;1 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
269;5515;755;ЛОЖЬ;ИСТИНА;2 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
261;5518;755;ЛОЖЬ;ИСТИНА;3 ;7 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
273;5575;755;ЛОЖЬ;ИСТИНА;4 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
201;5576;755;ЛОЖЬ;ИСТИНА;5 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
278;5578;755;ЛОЖЬ;ИСТИНА;6 ;4 ;4 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
266;5581;755;ЛОЖЬ;ИСТИНА;7 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
263;5584;755;ЛОЖЬ;ЛОЖЬ;8 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
320;5587;755;ЛОЖЬ;ЛОЖЬ;9 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
328;5590;755;ЛОЖЬ;ЛОЖЬ;10 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
353;5595;755;ЛОЖЬ;ИСТИНА;11 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
186;5598;755;ЛОЖЬ;ИСТИНА;12 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
192;5601;755;ЛОЖЬ;ЛОЖЬ;13 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
193;5604;755;ЛОЖЬ;ЛОЖЬ;14 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
110;5607;755;ЛОЖЬ;ЛОЖЬ;15 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
51;5622;755;ЛОЖЬ;ИСТИНА;16 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
89;5625;755;ЛОЖЬ;ЛОЖЬ;17 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
100;5628;755;ЛОЖЬ;ЛОЖЬ;18 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
157;5631;755;ЛОЖЬ;ЛОЖЬ;19 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
146;5635;755;ЛОЖЬ;ЛОЖЬ;20 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
132;5638;755;ЛОЖЬ;ЛОЖЬ;21 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
97;5641;755;ЛОЖЬ;ЛОЖЬ;22 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
206;5644;755;ЛОЖЬ;ЛОЖЬ;23 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
268;5647;755;ЛОЖЬ;ЛОЖЬ;24 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
197;5650;755;ЛОЖЬ;ЛОЖЬ;25 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
211;5657;755;ЛОЖЬ;ЛОЖЬ;26 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
185;5661;755;ЛОЖЬ;ЛОЖЬ;27 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
