Column1,user_id,current_sign_in_at,last_sign_in_at,Разница,grade_id,timezone,Регион,Муниципалитет,Школа
0,665767,3/15/2026 15:33,3/12/2026 13:15,03.00.0000 02:17,3006,Asia/Chita,Амурская область,Магдагачинский р-н,SCHOOL-F96A-D5C4-668F
1,665788,2/8/2026 11:13,1/12/2026 10:24,27.00.0000 00:48,3006,Asia/Yakutsk,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC
2,667623,3/21/2026 12:08,3/15/2026 17:08,05.00.0000 18:59,3006,Europe/Moscow,Владимирская область,г Ковров,SCHOOL-47BF-00AD-F2F5
3,667888,12/17/2025 11:29,12/14/2025 10:46,03.00.0000 00:42,3006,Asia/Yekaterinburg,Курганская область,г Курган,SCHOOL-6F1D-E04F-0A04
4,668076,11/17/2025 14:19,11/4/2025 20:57,12.00.0000 17:21,3009,Europe/Moscow,Владимирская область,поселок Мелехово,SCHOOL-592B-9835-D09C
5,669160,3/24/2026 12:41,3/21/2026 9:25,03.00.0000 03:15,3006,Asia/Yekaterinburg,Свердловская область,г Краснотурьинск,SCHOOL-F28F-B4C6-5FAB
6,670642,2/24/2026 10:24,2/5/2026 6:35,19.00.0000 03:48,3006,Europe/Moscow,Чувашская Республика - Чувашия,Комсомольский р-н,SCHOOL-1911-6B4B-5BA2
7,671753,3/22/2026 7:34,3/9/2026 14:36,12.00.0000 16:57,3006,Asia/Yekaterinburg,Пермский край,Карагайский муниципальный округ,SCHOOL-7A11-9526-5A5A
8,672661,3/23/2026 7:18,3/22/2026 14:30,00.00.0000 16:47,3006,Europe/Moscow,Тульская область,г Алексин,SCHOOL-F97C-A14E-9346
9,674171,2/27/2026 5:20,2/13/2026 4:26,14.00.0000 00:53,3009,Asia/Krasnoyarsk,Томская область,Томский р-н,SCHOOL-976B-5C2C-3C5C
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
