Column1,user_id,task_id,created_at,updated_at,Разница,attempts,solved,points,max_attempts,results,answers,skipped,resource_type,type,submitted_at,wk_partial_answer,performance
0,672661,1194537,12/19/2025 17:00,12/19/2025 17:00,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243453"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243453"": ""10306862""}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:00,,1.0
1,672661,1194536,12/19/2025 17:00,12/19/2025 17:00,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243452"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243452"": ""10306858""}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:00,,1.0
2,672661,1194539,12/19/2025 17:00,12/19/2025 17:01,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243455"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243455"": {""10306867"": ""10306868"", ""10306869"": ""10306870"", ""10306871"": ""10306872""}}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:01,,1.0
3,672661,1194541,12/19/2025 16:58,12/19/2025 17:00,00.00.0000 00:01,1,FALSE,0.6,1,"[{""1243460"": {""points"": 0.6, ""coefficient"": 0}}]","[{""1243460"": [""10306900"", ""10306904"", ""10306901"", ""10306902""]}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:00,,0.0
4,672661,1194540,12/19/2025 17:01,12/19/2025 17:01,00.00.0000 00:00,1,FALSE,0.83,1,"[{""1243458"": {""points"": 0.83, ""coefficient"": 0}}]","[{""1243458"": {""10306880"": ""10306881"", ""10306882"": ""10306881"", ""10306884"": ""10306881"", ""10306886"": ""10306887"", ""10306888"": ""10306881"", ""10306890"": ""10306887""}}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:01,,0.0
5,672661,220000002,12/19/2025 17:50,12/19/2025 17:50,00.00.0000 00:00,1,FALSE,0.0,1,"[{""220000002"": {""points"": 0.0, ""coefficient"": 0}}]","[{""220000002"": [""12000""]}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:50,,0.0
6,672661,220000000,12/19/2025 17:49,12/19/2025 17:49,00.00.0000 00:00,1,FALSE,0.0,1,"[{""220000000"": {""points"": 0.0, ""coefficient"": 0}}]","[{""220000000"": [""24""]}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:49,,0.0
7,672661,220000001,12/19/2025 17:49,12/19/2025 17:49,00.00.0000 00:00,1,TRUE,1.0,1,"[{""220000001"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000001"": [""15120""]}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:49,,1.0
8,672661,220000003,12/19/2025 17:49,12/19/2025 17:50,00.00.0000 00:00,1,TRUE,1.0,1,"[{""220000003"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000003"": [""25""]}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 17:50,,1.0
9,672661,220000004,12/19/2025 17:50,12/19/2025 18:07,00.00.0000 00:17,1,TRUE,1.0,1,"[{""220000004"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000004"": [""7.62""]}]",,Lesson,UserAnswers::LessonAnswer,12/19/2025 18:07,,1.0
10,669160,1204361,1/16/2026 16:16,1/16/2026 16:17,00.00.0000 00:01,1,FALSE,0.0,1,"[{""1257740"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1257740"": [""0""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:17,,0.0
11,669160,1204362,1/16/2026 16:17,1/16/2026 16:23,00.00.0000 00:05,1,FALSE,0.0,1,"[{""1257741"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1257741"": [""-2""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:23,,0.0
12,669160,1204363,1/16/2026 16:20,1/16/2026 16:31,00.00.0000 00:10,1,TRUE,1.0,1,"[{""1257742"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1257742"": [""-6""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:31,,1.0
13,669160,1204365,1/16/2026 16:28,1/16/2026 16:38,00.00.0000 00:10,1,TRUE,1.0,1,"[{""1257744"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1257744"": [""3""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:38,,1.0
14,669160,1204364,1/16/2026 16:24,1/16/2026 16:36,00.00.0000 00:11,1,TRUE,1.0,1,"[{""1257743"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1257743"": [""-12""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:36,,1.0
15,669160,1204770,1/16/2026 16:42,1/16/2026 16:46,00.00.0000 00:04,1,TRUE,1.0,1,"[{""1258237"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1258237"": [""-11""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:46,,1.0
16,669160,1204768,1/16/2026 16:38,1/16/2026 16:40,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1258235"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1258235"": [""1""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:40,,1.0
17,669160,1204769,1/16/2026 16:40,1/16/2026 16:43,00.00.0000 00:03,1,TRUE,1.0,1,"[{""1258236"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1258236"": [""-0.5""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:43,,1.0
18,669160,1204771,1/16/2026 16:44,1/16/2026 16:49,00.00.0000 00:05,1,TRUE,1.0,1,"[{""1258238"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1258238"": [""-1""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:49,,1.0
19,669160,1204772,1/16/2026 16:49,1/16/2026 16:51,00.00.0000 00:02,1,TRUE,1.0,1,"[{""1258239"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1258239"": [""1""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:51,,1.0
20,669160,1203534,1/16/2026 16:57,1/16/2026 16:59,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1256597"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1256597"": [""3""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:59,,1.0
21,669160,1206987,1/16/2026 16:52,1/16/2026 16:52,00.00.0000 00:00,0,,0.0,1,[],[],,Lesson,UserAnswers::LessonAnswer,,,0.0
22,669160,1203531,1/16/2026 16:53,1/16/2026 16:53,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1256594"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1256594"": [""2""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:53,,1.0
23,669160,1203532,1/16/2026 16:53,1/16/2026 16:54,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1256595"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1256595"": [""1""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:54,,1.0
24,669160,1203533,1/16/2026 16:55,1/16/2026 16:57,00.00.0000 00:02,1,TRUE,1.0,1,"[{""1256596"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1256596"": [""0""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 16:57,,1.0
25,669160,1203535,1/16/2026 16:59,1/16/2026 17:04,00.00.0000 00:04,1,TRUE,1.0,1,"[{""1256598"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1256598"": [""-2,5""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:04,,1.0
26,669160,1206980,1/16/2026 17:06,1/16/2026 17:08,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1261227"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261227"": ""10380924""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:08,,1.0
27,669160,1206981,1/16/2026 17:08,1/16/2026 17:11,00.00.0000 00:03,1,TRUE,1.0,1,"[{""1261228"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261228"": [""920""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:11,,1.0
28,669160,1206985,1/16/2026 17:12,1/22/2026 9:05,05.00.0000 15:52,1,FALSE,0.0,1,"[{""1261232"": {""points"": 0.0, ""coefficient"": 0}}, {""1261232"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1261232"": [""3""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:29,,0.0
29,669160,1206983,1/16/2026 17:11,1/16/2026 17:12,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1261230"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261230"": ""10380932""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:12,,1.0
30,669160,1206986,1/16/2026 17:30,1/16/2026 17:33,00.00.0000 00:03,1,TRUE,1.0,1,"[{""1261233"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261233"": [""20""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:33,,1.0
