user_id;first_activity;last_activity;total_events;unique_days;total_time_on_site;weekend_days;holiday_days;percent_of_calendar;academic_year;total_school_days_calendar;school_days_visited;total_school_days_actual;percent_of_actual_school;summer_days;avg_minutes_per_day;period_days
665767;13.10.2025 12:20;15.03.2026 15:33;304;24;0 дн 12 ч 31 мин 0 сек;7;1;8,8;2025-2026;273;24;186;12,9;0;31,3;153
665788;14.10.2025 5:40;08.02.2026 11:16;296;10;0 дн 5 ч 42 мин 0 сек;3;0;3,7;2025-2026;273;10;186;5,4;0;34,2;117
667623;21.10.2025 18:46;21.03.2026 12:08;344;25;0 дн 22 ч 13 мин 0 сек;12;2;9,2;2025-2026;273;25;186;13,4;0;53,3;150
667888;07.11.2025 3:51;17.12.2025 11:32;368;6;0 дн 17 ч 55 мин 0 сек;1;0;2,2;2025-2026;273;6;186;3,2;0;179,2;40
668076;01.11.2025 12:02;17.11.2025 14:19;44;3;0 дн 0 ч 17 мин 0 сек;1;1;1,1;2025-2026;273;3;186;1,6;0;5,7;16
669160;09.11.2025 19:00;24.03.2026 12:41;579;20;1 дн 4 ч 39 мин 0 сек;7;0;7,3;2025-2026;273;20;186;10,8;0;86;134
670642;18.11.2025 16:59;24.02.2026 10:40;182;5;0 дн 5 ч 6 мин 0 сек;0;0;1,8;2025-2026;273;5;186;2,7;0;61,2;97
671753;25.11.2025 15:01;22.03.2026 8:00;1008;23;1 дн 5 ч 56 мин 0 сек;9;0;8,4;2025-2026;273;23;186;12,4;0;78,1;116
672661;04.12.2025 15:17;23.03.2026 7:18;1220;53;4 дн 23 ч 47 мин 0 сек;19;3;19,4;2025-2026;273;53;186;28,5;0;135,6;108
674171;14.01.2026 2:48;27.02.2026 5:39;563;5;0 дн 10 ч 8 мин 0 сек;0;0;1,8;2025-2026;273;5;186;2,7;0;121,6;44
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
