Column1,user_id,Класс,Занятие 1 (Тип),Занятие 1 (% просмотра),Занятие 2 (Тип),Занятие 2 (% просмотра),Занятие 3 (Тип),Занятие 3 (% просмотра),Занятие 4 (Тип),Занятие 4 (% просмотра),Занятие 5 (Тип),Занятие 5 (% просмотра),Занятие 6 (Тип),Занятие 6 (% просмотра),Занятие 7 (Тип),Занятие 7 (% просмотра),Занятие 8 (Тип),Занятие 8 (% просмотра),Занятие 9 (Тип),Занятие 9 (% просмотра),Занятие 10 (Тип),Занятие 10 (% просмотра),Занятие 11 (Тип),Занятие 11 (% просмотра),Занятие 12 (Тип),Занятие 12 (% просмотра),Занятие 13 (Тип),Занятие 13 (% просмотра),Занятие 14 (Тип),Занятие 14 (% просмотра),Занятие 15 (Тип),Занятие 15 (% просмотра),Занятие 16 (Тип),Занятие 16 (% просмотра),Занятие 17 (Тип),Занятие 17 (% просмотра),Занятие 18 (Тип),Занятие 18 (% просмотра),Занятие 19 (Тип),Занятие 19 (% просмотра),Занятие 20 (Тип),Занятие 20 (% просмотра),Занятие 21 (Тип),Занятие 21 (% просмотра)
680,665767,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,0.02127659574468085,,,,
674,665788,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,,,,
1236,667623,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,1.0,Ролик,1.0,Вебинар,0.9523809523809523,Ролик,1.0,Ролик,1.0,Вебинар,1.0,Ролик,1.0,Ролик,1.0,Вебинар,1.0,Ролик,1.0,Ролик,1.0,Вебинар,0.3829787234042553,,,,
1714,667888,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,0.046875,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,,,,
1454,668076,10 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,,,,
4205,669160,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,,,,
8015,670642,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,,,,
2470,671753,7 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,1.0,Вебинар,,Ролик,,Ролик,1.0,Вебинар,,Ролик,1.0,Ролик,,Вебинар,,,,,
6235,672661,7 класс,Ролик,,Ролик,1.0,Ролик,1.0,Вебинар,0.019230769230769232,Ролик,1.0,Ролик,1.0,Вебинар,0.984375,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,1.0,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,1.0,Ролик,,Вебинар,,,,,
6188,674171,10 класс,Ролик,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,Ролик,,Ролик,,Вебинар,,,,,
